Wavelength(nm),Flux
7177.463055488838,522413.82246252295
7176.761994400849,526548.4533289309
7176.059359300807,517707.5574910027
7175.355150188709,534366.8367471775
7174.649367064559,517890.74386794673
7173.9420099283525,535435.4483362058
7173.233078780095,540502.7197249676
7172.522573619782,526200.095208586
7171.810494447414,521960.6283827202
7171.096841262994,526671.9682951238
7170.3816140665185,530426.4280123335
7169.66481285799,533956.4465058337
7168.946437637406,528262.3453655607
7168.22648840477,526745.7253214518
7167.504965160078,542326.3892670415
7166.7818679033335,541000.8196365737
7166.057196634534,539011.9695275631
7165.3309513536815,542341.1090439679
7164.603132060774,546345.6206038571
7163.873738755813,608519.2243002624
7163.142771438798,544578.7753847998
7162.410230109729,557529.7309953481
7161.676114768607,548766.5068740787
7160.94042541543,544189.910468248
7160.203162050198,544724.2192776148
7159.464324672914,552187.8048567625
7158.723913283575,554981.4513454029
7157.981927882181,557597.2448765214
7157.238368468735,555566.0396985821
7156.493235043233,567334.3817069676
7155.746527605678,565918.5849600557
7154.998246156069,569238.661897519
7154.248390694406,583969.3102577243
7153.49696122069,568548.5205967029
7152.743957734919,565082.2212868079
7151.989380237093,580577.1340787706
7151.233228727215,575093.7693653331
7150.475503205281,579099.6810550689
7149.716203671295,619748.5311737562
7148.955330125254,611389.0740657344
7148.1928825671575,577578.7380765582
7147.428860997009,590168.4535789469
7146.663265414806,583452.5339292231
7145.89609582055,588424.1371839936
7145.127352214239,596190.4127428224
7144.357034595873,594838.9909576139
7143.585142965454,602569.3162448906
7142.811677322981,617957.257536715
7142.036637668454,596635.3175957453
7141.260024001873,609232.5446238064
7140.481836323238,605398.5365846525
7139.70207463255,599376.6744059314
7138.920738929806,604042.0481574378
7138.13782921501,604265.2823527048
7137.353345488159,613046.0012016895
7136.567287749253,622351.8955283454
7135.779655998294,615349.6964377081
7134.990450235282,618688.3794312133
7134.199670460214,620843.926465899
7133.407316673093,631370.4228311661
7132.613388873918,618498.0792657936
7131.81788706269,627779.5653318445
7131.020811239406,631600.1634509056
7130.222161404069,626574.1972535503
7129.421937556678,620264.972624761
7128.620139697233,626458.6174057584
7127.816767825734,631294.2692930124
7127.011821942181,623573.662768306
7126.205302046575,623263.6338774004
7125.397208138913,633615.0893550891
7124.587540219199,625918.9146221299
7123.776298287429,630218.8973565379
7122.963482343605,630406.8839955623
7122.149092387729,651337.5287077648
7121.333128419798,636464.947328095
7120.515590439813,636153.617669161
7119.696478447774,641062.06957276
7118.87579244368,642971.1191323303
7118.053532427534,647123.2384850308
7117.229698399334,646578.2389509786
7116.404290359078,639261.9570433843
7115.57730830677,658802.1360892865
7114.748752242406,665865.465334386
7113.918622165989,660142.3061316644
7113.086918077518,719822.3312396872
7112.253639976993,672789.0172517825
7111.418787864414,668700.4437803271
7110.582361739781,672315.8774810998
7109.744361603094,688904.4693969452
7108.904787454353,678929.894248751
7108.0636392935585,683665.017588775
7107.220917120709,684349.984637449
7106.376620935806,679697.3708435136
7105.53075073885,686573.5347039552
7104.683306529838,679518.6445754069
7103.8342883087735,698358.5162186865
7102.983696075654,698004.1316853071
7102.131529830482,698236.2854201999
7101.277789573253,695548.4686958723
7100.422475303973,709822.1438703983
7099.565587022637,742659.3872005381
7098.70712472925,731295.9850293911
7097.847088423806,717750.9739715745
7096.9854781063095,730286.5327826003
7096.122293776758,719347.9113330614
7095.257535435153,747145.1064712672
7094.3912030814945,718196.071625447
7093.523296715781,729134.0008472167
7092.653816338015,725483.1366842565
7091.782761948193,735970.1754254887
7090.910133546318,723969.0427937924
7090.035931132389,729659.9878376347
7089.1601547064065,736989.1133029594
7088.28280426837,739372.3919121777
7087.403879818278,732369.7586048989
7086.5233813561335,739580.7374066925
7085.641308881934,739233.8815825231
7084.75766239568,745417.1147991247
7083.872441897374,741060.6072248842
7082.985647387013,744890.0980705034
7082.097278864599,751265.250718494
7081.207336330129,754359.5489376247
7080.3158197836065,747850.4725725793
7079.42272922503,743968.4329973063
7078.528064654398,744248.4516928789
7077.631826071713,746022.3567208062
7076.734013476974,736287.3548637279
7075.834626870182,740217.2783338202
7074.933666251335,741078.8010241102
7074.031131620433,742300.9889149107
7073.127022977478,743916.3542806813
7072.221340322469,744887.0327434199
7071.314083655407,731381.2093884615
7070.405252976289,751898.8426321326
7069.494848285118,731456.2431349823
7068.582869581893,732265.2561408302
7067.669316866614,728115.6546663941
7066.7541901392815,739768.8028253902
7065.837489399894,741441.996129993
7064.919214648454,737640.7431474354
7063.999365884958,732367.840698027
7063.07794310941,727229.4145080062
7062.154946321806,730962.0162153546
7061.230375522148,736762.7744676172
7060.304230710438,723522.3344800617
7059.376511886673,726216.7415340644
7058.447219050854,731057.8465383676
7057.516352202981,733463.7929403292
7056.583911343055,721134.6211285108
7055.649896471074,724903.0777110112
7054.714307587038,726918.3870726718
7053.777144690949,723293.9656857775
7052.838407782806,717385.4022666068
7051.898096862608,732614.4111677592
7050.956211930358,730631.5679889686
7050.012752986054,732273.7663855057
7049.067720029694,725234.7560552133
7048.121113061281,735579.7885435899
7047.172932080814,728292.4625239779
7046.223177088293,747597.1235455459
7045.271848083718,730768.2187814487
7044.31894506709,770073.9742921661
7043.364468038407,744347.5251370424
7042.4084169976695,745542.8021511304
7041.450791944878,748682.2510841499
7040.491592880034,747039.2356409156
7039.530819803133,755878.7866979265
7038.568472714181,756568.196624474
7037.6045516131735,758095.4862429476
7036.639056500113,788172.6188656046
7035.671987374999,765526.9609386324
7034.703344237829,768684.9018532914
7033.733127088607,773376.7203706984
7032.761335927328,781254.5466079412
7031.787970753999,778848.9507167847
7030.813031568614,775747.9187377504
7029.836518371175,784704.617478896
7028.858431161681,790045.4025828816
7027.878769940135,793582.9038328518
7026.897534706533,796558.0704870186
7025.914725460879,802487.3529777365
7024.93034220317,799728.8063437161
7023.944384933407,800644.7488248202
7022.95685365159,817955.667111638
7021.967748357719,815505.9119805333
7020.9770690517935,826379.1004678255
7019.984815733815,819728.1527814612
7018.990988403781,826806.175842569
7017.995587061695,829625.1804397742
7016.998611707552,831789.3737008056
7016.000062341359,862401.8487149506
7014.999938963109,829281.7814252271
7013.998241572807,826069.4304288385
7012.994970170449,832443.0443075602
7011.990124756038,837698.4453920138
7010.983705329573,829929.863481527
7009.975711891054,841660.5490393816
7008.966144440482,829366.7873917612
7007.955002977854,834451.2666555436
7006.942287503173,849833.6279833792
7005.927998016438,838418.5857736032
7004.912134517649,847237.0435089051
7003.894697006807,848805.6722916847
7002.875685483909,840222.0882805157
7001.855099948958,842978.951445308
7000.832940401953,847887.0730054971
6999.809206842894,844294.79213439
6998.783899271782,847476.3777685711
6997.757017688615,835221.7960813674
6996.7285620933935,846030.0165779794
6995.698532486118,838725.0897307928
6994.66692886679,847681.3447535831
6993.633751235407,838422.5094032
6992.598999591969,840281.9694038093
6991.562673936479,838569.2659159468
6990.5247742689335,849836.3889430314
6989.485300589334,840691.4306331226
6988.4442528976815,838416.2358382273
6987.401631193975,846066.5492634699
6986.357435478213,838578.235827422
6985.311665750398,843725.1488053988
6984.26432201053,831561.2373240058
6983.215404258607,832778.1067540795
6982.164912494629,830532.337162548
6981.112846718598,849040.1844849668
6980.059206930514,818135.7867548955
6979.0039931303745,825077.8330827766
6977.947205318181,825002.7267819323
6976.8888434939345,812699.6974634668
6975.828907657633,820900.7507059649
6974.767397809278,803972.8872297887
6973.70431394887,808589.5397321852
6972.639656076407,810016.6753660454
6971.573424191889,796569.8510987954
6970.5056182953185,793934.5345375679
6969.436238386694,795380.7274932797
6968.365284466014,783482.2816813176
6967.292756533281,789482.5851518357
6966.218654588494,774060.3289735547
6965.142978631653,780364.8413157794
6964.065728662758,768481.7695001141
6962.9869046818085,769609.7401916645
6961.906506688806,759578.4358743824
6960.824534683749,755676.5127646171
6959.740988666638,753354.9286074914
6958.655868637473,745015.073924716
6957.569174596255,742522.3743103811
6956.480906542981,744216.2035390658
6955.391064477654,731126.5957288877
6954.299648400273,729555.4927699299
6953.206658310838,729600.08311137
6952.11209420935,727456.1925382429
6951.015956095806,730171.2469460166
6949.91824397021,742767.5074514914
6948.818957832557,712403.4181085114
6947.718097682854,721919.5859839448
6946.615663521095,710888.2460382646
6945.511655347282,717829.7533111806
6944.4060731614145,709158.8320731684
6943.298916963494,708683.8760373736
6942.190186753519,711560.095530955
6941.07988253149,705443.4097377012
6939.968004297407,705781.983405562
6938.85455205127,705294.0627915137
6937.739525793078,700216.3332749766
6936.622925522834,698179.93062496
6935.5047512405345,694998.6529732719
6934.385002946182,698074.2027513304
6933.263680639775,701045.639441771
6932.140784321314,706369.4036617998
6931.016313990797,700010.9787524188
6929.89026964823,700412.9021665737
6928.762651293606,703569.4424150799
6927.63345892693,713559.6680670573
6926.502692548198,714114.29527528
6925.3703521574125,714916.9610096769
6924.236437754574,713282.2035033996
6923.1009493396805,722776.5338778176
6921.963886912735,718141.3644041476
6920.825250473733,730227.4315435614
6919.685040022679,727600.8212593818
6918.54325555957,733151.585689229
6917.399897084407,730280.2913837692
6916.254964597189,736465.3828289292
6915.108458097918,747829.6360197259
6913.960377586593,752476.3346826746
6912.810723063214,747695.0265035509
6911.659494527781,753159.8081535634
6910.506691980295,757401.5961909242
6909.352315420753,766308.4888524603
6908.196364849157,756443.3384603086
6907.03884026551,765330.2430039087
6905.879741669806,769134.2322706302
6904.719069062049,766369.6886311283
6903.556822442239,774671.1660403392
6902.393001810374,772185.1135090579
6901.227607166454,771434.6054255874
6900.060638510481,779061.7601701315
6898.892095842454,772624.07234353
6897.721979162373,781825.7067275674
6896.550288470237,776536.180768816
6895.377023766049,774091.4687956515
6894.202185049807,783165.358434439
6893.025772321509,780068.1747144626
6891.847785581158,779380.2550595781
6890.668224828753,778952.166367056
6889.4870900642945,780812.0990567566
6888.304381287781,775669.4534978375
6887.120098499214,772093.6254387408
6885.934241698593,775764.577155899
6884.746810885918,787551.9195337335
6883.55780606119,794097.3713880449
6882.367227224406,774948.9566668028
6881.175074375569,767168.6809595065
6879.981347514678,774814.0167830772
6878.786046641734,770565.4872973174
6877.589171756735,772776.216936152
6876.390722859681,773905.9594147163
6875.190699950574,767554.689416972
6873.989103029413,767653.319672298
6872.785932096199,766987.8183357806
6871.5811871509295,770804.8087063733
6870.374868193606,759571.2059986173
6869.16697522423,763513.7022979987
6867.957508242798,764409.2486648537
6866.746467249313,762952.865258768
6865.533852243773,764494.4135072482
6864.319663226181,764029.9326769209
6863.103900196535,775233.4955832261
6861.886563154833,766514.6427415465
6860.667652101079,763561.3859623212
6859.44716703527,760827.2741539668
6858.225107957406,756292.3362746412
6857.001474867489,764910.0298519135
6855.776267765518,764873.360870891
6854.549486651494,760640.7050967428
6853.321131525414,751279.3468172568
6852.091202387282,759615.0323357331
6850.859699237094,764688.3135300122
6849.626622074853,765850.9436345095
6848.391970900558,758617.1573886693
6847.155745714209,767419.3448235007
6845.917946515807,759209.3569344105
6844.678573305348,764076.0187572597
6843.4376260828385,769115.5260656853
