Wavelength(A),Weight
3.528602860286028772e+03,1.667909004609916090e+00
3.528987898789879182e+03,1.667941171798882349e+00
3.529372937293729592e+03,1.667976584520816763e+00
3.529757975797579547e+03,1.668012102555030296e+00
3.530143014301429957e+03,1.668047630747271581e+00
3.530528052805280367e+03,1.668083176130020995e+00
3.530913091309130778e+03,1.668118721512770408e+00
3.531298129812981188e+03,1.668155715554567875e+00
3.531683168316831598e+03,1.668193131899187387e+00
3.532068206820682008e+03,1.668230962718023624e+00
3.532453245324532418e+03,1.668270718836447841e+00
3.532838283828382828e+03,1.668310474954872058e+00
3.533223322332233238e+03,1.668350248848681661e+00
3.533608360836083648e+03,1.668390035614321976e+00
3.533993399339934058e+03,1.668429822379962069e+00
3.534378437843784468e+03,1.668472017343765934e+00
3.534763476347634878e+03,1.668514254311026290e+00
3.535148514851485288e+03,1.668556913425953692e+00
3.535533553355335698e+03,1.668600244850128922e+00
3.535918591859186108e+03,1.668643576274304152e+00
3.536303630363036063e+03,1.668686934069900429e+00
3.536688668866886474e+03,1.668730298936095036e+00
3.537073707370736884e+03,1.668774227606487193e+00
3.537458745874587294e+03,1.668820537718488595e+00
3.537843784378437704e+03,1.668866847830490219e+00
3.538228822882288114e+03,1.668913276983549299e+00
3.538613861386138524e+03,1.668959787405023043e+00
3.538998899889988934e+03,1.669006297826496787e+00
3.539383938393839344e+03,1.669053167048774711e+00
3.539768976897689754e+03,1.669100037299135142e+00
3.540154015401540164e+03,1.669147447828380981e+00
3.540539053905390574e+03,1.669195668775954600e+00
3.540924092409240984e+03,1.669243889723527996e+00
3.541309130913091394e+03,1.669292140607689490e+00
3.541694169416941804e+03,1.669340398842828144e+00
3.542079207920792214e+03,1.669388620063884998e+00
3.542464246424642624e+03,1.669436698369459737e+00
3.542849284928493034e+03,1.669484776675034476e+00
3.543234323432343444e+03,1.669532715449236759e+00
3.543619361936193400e+03,1.669580564477908258e+00
3.544004400440043810e+03,1.669628413929927557e+00
3.544389438943894220e+03,1.669676300001537994e+00
3.544774477447744630e+03,1.669724186073148431e+00
3.545159515951595040e+03,1.669771158733830640e+00
3.545544554455445450e+03,1.669816840020441395e+00
3.545929592959295860e+03,1.669862521307052372e+00
3.546314631463146270e+03,1.669907447738470996e+00
3.546699669966996680e+03,1.669952205251245436e+00
3.547084708470847090e+03,1.669996970395794644e+00
3.547469746974697500e+03,1.670041762598454493e+00
3.547854785478547910e+03,1.670086554801114342e+00
3.548239823982398320e+03,1.670127831941672136e+00
3.548624862486248730e+03,1.670166980696002890e+00
3.549009900990099140e+03,1.670206122811644711e+00
3.549394939493949551e+03,1.670245013394748401e+00
3.549779977997799961e+03,1.670283903977852091e+00
3.550165016501649916e+03,1.670321985496974637e+00
3.550550055005500326e+03,1.670358988264121880e+00
3.550935093509350736e+03,1.670395991031269345e+00
3.551320132013201146e+03,1.670426759220477564e+00
3.551705170517051556e+03,1.670456263354364701e+00
3.552090209020901966e+03,1.670485772856195483e+00
3.552475247524752376e+03,1.670515299902036732e+00
3.552860286028602786e+03,1.670544826947877981e+00
3.553245324532453196e+03,1.670570473146103296e+00
3.553630363036303606e+03,1.670593909175507097e+00
3.554015401540154016e+03,1.670617052113298362e+00
3.554400440044004426e+03,1.670633160852392329e+00
3.554785478547854837e+03,1.670649269591486075e+00
